"Latitud","Longitud","placas"
26.88,-110.8,"Norteamérica"
13.73,-92.55,"Caribe"
16.496,-95.1053,"Cocos"
15.48,-94.94,"Cocos"
14.3567,-92.2435,"Caribe"
31.3903,-115.487,"Pacífico"
30.7772,-110.633,"Norteamérica"
16.176,-97.9597,"Cocos"
17.64,-94.91,"Norteamérica"
19.31,-99.14,"Norteamérica"
19.5122,-102.107,"Rivera"
17.0942,-95.0698,"Cocos"
25.56,-109.77,"Norteamérica"
18.0953,-103.369,"Rivera"
16.0872,-97.503,"Cocos"
20.9008,-99.1748,"Norteamérica"
19.3895,-99.152,"Norteamérica"
17.9,-103.33,"Rivera"
32.1532,-115.273,"Pacífico"
31.9,-115.8,"Pacífico"
15.4178,-94.7572,"Cocos"
18.8248,-104.492,"Rivera"
15.3293,-93.4185,"Caribe"
19.3297,-105.116,"Rivera"
30.5642,-110.961,"Norteamérica"
16.2555,-98.0833,"Cocos"
19.03,-98.621,"Norteamérica"
19.4473,-102.148,"Rivera"
17.37,-94.84,"Norteamérica"
15.7867,-95.1972,"Cocos"
24.6882,-109.302,"Pacífico"
16.8647,-99.9908,"Cocos"
17.9297,-98.3337,"Norteamérica"
27.2,-112.04,"Pacífico"
32.51,-115.18,"Pacífico"
17.4868,-94.8053,"Norteamérica"
20.31,-99.21,"Norteamérica"
18.44,-102.95,"Rivera"
31.77,-115.99,"Pacífico"
14.0593,-92.6773,"Caribe"
25.09,-109.58,"Norteamérica"
14.7163,-92.5998,"Caribe"
18.1213,-103.285,"Rivera"
16.141,-95.301,"Cocos"
16.8407,-100.107,"Cocos"
31.26,-115.27,"Pacífico"
19.24,-102.96,"Rivera"
32.3082,-115.062,"Pacífico"
15.9798,-94.7083,"Cocos"
16.2743,-97.8532,"Cocos"
32.2965,-115.121,"Pacífico"
17.4205,-94.7868,"Norteamérica"
32.0845,-116.471,"Pacífico"
16.7447,-99.6915,"Cocos"
16.5157,-95.1792,"Cocos"
21.9217,-102.389,"Norteamérica"
16.02,-99.21,"Cocos"
31.3728,-115.251,"Pacífico"
17.3912,-94.6775,"Norteamérica"
23.4188,-99.5658,"Norteamérica"
31.4548,-115.543,"Pacífico"
31.5012,-115.545,"Pacífico"
16.688,-99.6297,"Cocos"
19.4202,-102.162,"Rivera"
17.16,-100.38,"Cocos"
24.7135,-109.166,"Norteamérica"
15.96,-98.97,"Cocos"
18.2495,-106.132,"Rivera"
17.082,-96.4435,"Cocos"
18.3857,-101.931,"Rivera"
18.5073,-103.955,"Rivera"
14.2768,-92.752,"Caribe"
18.166,-103.463,"Rivera"
17.45,-94.64,"Norteamérica"
16.2147,-98.0842,"Cocos"
16.2943,-98.2435,"Cocos"
13.86,-92.06,"Caribe"
31.67,-115.77,"Pacífico"
32.05,-116.25,"Pacífico"
15.13,-92.12,"Caribe"
30.8213,-114.264,"Pacífico"
31.4852,-115.539,"Pacífico"
17.6612,-95.4243,"Norteamérica"
19.1503,-105.137,"Rivera"
18.8572,-98.6305,"Norteamérica"
17.53,-94.67,"Norteamérica"
15.8058,-93.858,"Caribe"
17.5403,-94.4175,"Norteamérica"
17.75,-93.95,"Norteamérica"
14.1492,-92.5822,"Caribe"
13.639,-92.5072,"Caribe"
17.1197,-100.997,"Cocos"
16.87,-99.92,"Cocos"
19.8402,-104.362,"Rivera"
15.4023,-92.676,"Caribe"
25.393,-99.5623,"Norteamérica"
14.6633,-93.7012,"Caribe"
15.2427,-93.9572,"Caribe"
15.2028,-92.5713,"Caribe"
19.6823,-104.265,"Rivera"
19.2998,-104.264,"Rivera"
22.79,-102.6,"Norteamérica"
15.7923,-92.888,"Caribe"
19.208,-104.296,"Rivera"
17.5078,-95.2183,"Norteamérica"
28.0315,-112.29,"Pacífico"
27.5028,-111.384,"Norteamérica"
19.2252,-104.044,"Rivera"
15.77,-93.868,"Caribe"
31.97,-116.34,"Pacífico"
17.47,-94.29,"Norteamérica"
32.4402,-115.166,"Pacífico"
19.2427,-104.486,"Rivera"
14.61,-94.56,"Caribe"
32.37,-115.07,"Pacífico"
16.2543,-98.0987,"Cocos"
27.476,-111.499,"Norteamérica"
32.56,-115.53,"Pacífico"
23.7622,-108.807,"Pacífico"
15.2838,-94.0252,"Caribe"
15.8032,-92.7728,"Caribe"
26.89,-112.22,"Pacífico"
15.0015,-93.0038,"Caribe"
24.8615,-99.5887,"Norteamérica"
30.7982,-113.934,"Norteamérica"
18.8253,-100.11,"Norteamérica"
14.1367,-92.0392,"Caribe"
28.0382,-112.039,"Pacífico"
31.292,-114.364,"Pacífico"
32.46,-115.77,"Pacífico"
14.0373,-92.3362,"Caribe"
27.5568,-111.645,"Pacífico"
17.8813,-98.1395,"Norteamérica"
15.9658,-94.7925,"Cocos"
15.155,-93.7563,"Caribe"
